Número de artículo,Descripción del artículo,Código SN,Nombre SN,Válido,De fecha,Hasta fecha,Nº catálogo SN,Descripción de catálogo de SN,Cantidad,Precio especial,Moneda del precio,Descuento en %
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,500,613,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"1,000.00",334,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"2,000.00",192,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"3,000.00",143,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"5,000.00",105,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"7,000.00",89,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"10,000.00",77,COP,0
105828,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,CN901426336,3D MASTERS STUDIO SAS,Y,11/11/2024,,LINO,ET MOFT COMPLEMENTO PRENDA CON LINO 2024 CI JEANS,"15,000.00",67,COP,0
103680,ET RIFLE GENERICA HECHO EN COLOMBIA 2023 14004282001,CN901365890,4M BRANDS S.A.S,Y,4/5/2025,,ETIQUETA RIFLE,ETIQUETA RIFLE,"5,000.00",150,COP,0
105877,ET VIVANT A LIFE WELL LIVED COMPLEMENTO FLOW FEELING NAFTALINA,CN901365890,4M BRANDS S.A.S,Y,12/10/2024,,FLOW,FLOW,500,292,COP,0
